N_Nos_Layer1;N_Nos_Layer2;N_Nos_Layer3;EPOCAS;MSE;RMSE;MAE;MAPE;Duracao
100;94;84;250;78982,94648;281,039048;135,894841;2,216287087;68,930089
100;94;82;250;72833,20727;269,8762814;140,7092052;2,220120824;67,35168433
100;94;80;250;60585,53905;246,1412989;84,40839719;1,754270205;67,1267941
100;94;78;250;68839,53112;262,3728856;117,295409;2,038295015;68,2380693
100;94;76;250;76920,64721;277,3457179;137,9076484;2,231897376;68,10137248
100;94;74;250;72336,79327;268,9550023;139,2746639;2,211144398;68,4644978
100;94;72;250;74646,84652;273,2157509;127,8150101;2,134982743;66,63392544
100;94;70;250;65690,17043;256,3009372;96,59430825;1,869957533;67,2475481
100;94;68;250;74072,86757;272,1633105;135,4800133;2,203060682;67,54943252
100;94;66;250;69117,81789;262,9026776;129,9596627;2,109559444;67,93343544
100;94;64;250;72802,83909;269,8200124;128,7698981;2,137486007;67,24412251
100;94;62;250;71577,07213;267,538917;122,2233914;2,093101726;67,15325141
100;94;60;250;72557,8034;269,3655572;136,4297505;2,203100716;67,98518848
100;94;58;250;60142,91785;245,2405306;87,13651195;1,776971399;67,37308073
100;94;56;250;64755,85041;254,4717085;96,30182728;1,889424267;66,48037243
100;94;54;250;72592,17093;269,4293431;127,8930424;2,12749474;66,98415661
100;94;52;250;75151,31582;274,1374032;132,0514427;2,166678361;67,48125243
100;94;50;250;68237,35174;261,222801;96,96209867;1,909188069;66,93267488
100;94;48;250;68767,97021;262,2364777;117,7131461;2,048663639;65,50596237
100;94;46;250;70682,5817;265,8619599;126,561045;2,124219469;65,66672397
100;94;44;250;72151,79942;268,6108699;125,2393315;2,115816006;66,520751
100;94;42;250;71643,50317;267,6630404;113,3306473;2,02386843;66,37448502
100;94;40;250;72301,57783;268,8895272;117,4270836;2,056218877;66,52136874
100;94;38;250;61110,88836;247,2061657;88,90330685;1,802447385;66,48888278
100;94;36;250;73594,55081;271,2831562;130,815129;2,158921631;64,48358321
100;94;34;250;66379,41935;257,6420372;98,70412917;1,917284945;64,96745706
100;94;32;250;65966,68656;256,8398072;92,31301134;1,850067372;64,69008636
100;94;30;250;63261,09705;251,5175879;101,5876815;1,907568072;66,05148387
100;94;28;250;65899,03102;256,7080657;113,3498594;2,006282476;66,7933979
100;94;26;250;65205,93387;255,3545258;108,2970111;1,966567025;65,12880564
100;94;24;250;71009,00112;266,4751416;112,2409317;2,016109359;64,17734814
100;94;22;250;72254,44668;268,8018725;117,9303924;2,067171483;64,1379869
100;94;20;250;61503,03159;247,9980475;86,74972575;1,773136666;64,25154066
100;94;18;250;71818,27095;267,9893113;111,0406189;2,004703327;64,39089441
100;94;16;250;62658,77528;250,3173491;97,69400384;1,869251397;64,44941521
100;94;14;250;70695,62386;265,8864868;115,1524716;2,035734859;63,7719214
100;94;12;250;70679,33659;265,8558568;134,8198237;2,153301221;63,80758977
100;94;10;250;69380,28593;263,401378;107,6249496;1,981057453;64,67431712
100;94;8;250;66555,42457;257,9833804;105,6443129;1,945000568;64,00381279
100;92;100;250;62011,99492;249,0220772;90,26665013;1,810585529;66,0849483
100;92;98;250;79848,47113;282,5747178;144,9077001;2,295389817;66,9107151
100;92;96;250;66742,51369;258,3457251;127,6570249;2,09574072;67,0466156
100;92;94;250;64042,95527;253,0670964;95,17872497;1,872132074;67,10932589
100;92;92;250;70268,04045;265,081196;133,6606627;2,157587087;66,47976947
100;92;90;250;74649,41887;273,2204584;142,7733484;2,231427443;66,38173509
100;92;88;250;70772,23762;266,0305201;123,3266535;2,105966495;67,00307798
100;92;86;250;70056,63151;264,682133;129,948405;2,129159339;67,36828017
100;92;84;250;70415,61763;265,3594122;122,5131365;2,087672887;67,93636012
100;92;82;250;64870,76376;254,6973965;92,32244863;1,842434366;66,77742386
100;92;80;250;70684,37685;265,8653359;128,3046713;2,139236994;67,06369948
100;92;78;250;77425,66211;278,2546713;133,0403814;2,183455566;67,09550738
100;92;76;250;65234,81718;255,4110749;85,30671995;1,787480128;66,61248589
100;92;74;250;70247,15318;265,0417952;137,0962511;2,171608187;66,94899297
100;92;72;250;82252,65422;286,7972354;157,9258728;2,411564353;69,84853196
100;92;70;250;66631,73164;258,1312295;97,21186421;1,907228609;69,89622426
100;92;68;250;73104,36878;270,3781958;130,2350552;2,153518374;74,25283694
100;92;66;250;73390,24501;270,9063399;100,6762673;1,9052434;73,5416255
100;92;64;250;71619,9249;267,618992;137,8479154;2,184656769;72,86656237
100;92;62;250;64753,3333;254,4667627;109,6384288;1,955264635;71,6894834
100;92;60;250;68032,08763;260,8296142;112,7165952;2,008402501;72,39765668
100;92;58;250;68458,98862;261,6466866;87,13159009;1,80260228;73,52309132
100;92;56;250;71616,77463;267,6131062;128,7520835;2,135760603;72,78534746
100;92;54;250;75861,65926;275,4299535;144,13669;2,255078365;73,94567776
100;92;52;250;73602,95143;271,2986388;117,8595454;2,059472834;75,22479129
100;92;50;250;71540,66762;267,4708725;122,0856801;2,087493319;77,96288705
100;92;48;250;74862,55499;273,6102246;115,707063;2,040146801;73,474751
100;92;46;250;71811,03648;267,9758132;130,2022405;2,15369355;72,4995718
100;92;44;250;71457,14827;267,3146989;126,6766777;2,102385822;69,89056969
100;92;42;250;68563,57715;261,8464763;106,8880971;1,99060791;68,66547394
100;92;40;250;67975,4961;260,7211079;110,519952;1,991909153;65,24397612
100;92;38;250;62735,463;250,4704833;86,03320321;1,761028701;65,00073218
100;92;36;250;73729,1593;271,5311387;121,3593998;2,087278373;64,93732691
100;92;34;250;70978,45707;266,4178242;128,9846493;2,133479354;65,20921922
100;92;32;250;71949,08841;268,2332724;122,2090989;2,090825318;67,68008113
100;92;30;250;66931,43065;258,7110949;118,1320527;2,025184392;65,6762197
100;92;28;250;66636,56533;258,1405922;115,5731541;2,014798441;69,82086349
100;92;26;250;68395,99322;261,5262763;120,6525811;2,059658244;71,56087995
100;92;24;250;61066,85077;247,1170791;87,73841376;1,785687254;71,06428218
100;92;22;250;63922,47418;252,8289425;99,22232939;1,901346761;79,8496592
100;92;20;250;67255,96774;259,3375556;111,0401569;1,994011741;78,47450686
100;92;18;250;67710,38302;260,2121884;107,8072854;1,96919984;85,31412959
100;92;16;250;66786,27126;258,4303993;106,205206;1,944208348;75,57066035
100;92;14;250;64427,3836;253,8254983;96,22878067;1,881120208;71,88804054
100;92;12;250;65545,97826;256,019488;101,1739566;1,93610977;73,41427279
100;92;10;250;60335,47374;245,6328026;84,39486387;1,762901428;70,69845223
100;92;8;250;64755,50195;254,4710238;103,0180916;1,908119374;68,08330464
100;90;100;250;76083,33511;275,8320777;151,9894273;2,332066484;71,25969172
100;90;98;250;65013,97665;254,9783847;88,59259908;1,814413157;74,17794394
100;90;96;250;65119,01982;255,184286;89,61156342;1,821383626;68,81456542
100;90;94;250;73642,27739;271,3711064;126,2827277;2,12435508;66,90705729
100;90;92;250;71292,72504;267,0069756;120,2706777;2,073352266;70,20820689
100;90;90;250;66624,91794;258,118031;104,6116881;1,939239279;72,51070213
100;90;88;250;73840,84892;271,7367272;131,0806524;2,160295538;70,17584705
100;90;86;250;70121,83009;264,8052682;125,3379216;2,102540362;71,62104321
100;90;84;250;76977,59524;277,448365;137,2520796;2,220902027;71,56696367
100;90;82;250;64576,709;254,1194778;88,93752107;1,799747489;73,09797955
100;90;80;250;69312,80464;263,2732509;125,9382418;2,085476762;72,90890121
100;90;78;250;68198,98713;261,1493579;122,6224151;2,081748993;71,7898047
100;90;76;250;70490,31442;265,5001213;135,7013042;2,183671641;71,07720351
100;90;74;250;65503,16174;255,9358547;93,12374964;1,830079663;70,42360735
100;90;72;250;62031,56805;249,0613741;102,1009482;1,893059775;70,22854114
100;90;70;250;77497,20305;278,3831946;147,6190418;2,311071743;70,20182133
100;90;68;250;69739,009;264,0814439;117,1104602;2,047285854;69,94225836
100;90;66;250;74803,80821;273,5028486;144,5473817;2,261336499;70,36511993
100;90;64;250;62564,99418;250,1299546;99,95325598;1,914552412;71,1649251
100;90;62;250;63876,55863;252,7381226;98,26804117;1,8863022;68,81643391
100;90;60;250;61332,65287;247,6543011;89,05056381;1,792879198;68,70628452
100;90;58;250;78075,54631;279,4200177;132,8557632;2,188787951;68,44294572
100;90;56;250;87729,84295;296,1922399;162,3457274;2,534563787;68,01947641
100;90;54;250;67544,0118;259,8923081;116,4119705;2,041000881;67,45496249
100;90;52;250;73402,04301;270,9281141;123,330461;2,09352471;68,27623153
100;90;50;250;69973,50841;264,525062;126,6312593;2,081824341;67,9385252
100;90;48;250;72202,78752;268,7057638;132,2274513;2,161847437;66,79646182
100;90;46;250;62860,07259;250,7191109;86,28143841;1,781509308;67,54208755
100;90;44;250;76260,42115;276,1528945;144,1984432;2,264804133;67,67384601
100;90;42;250;63857,18016;252,6997827;94,34201732;1,864816576;67,52376938
100;90;40;250;70107,11004;264,7774727;115,9505993;2,034143702;66,77626085
100;90;38;250;68404,78259;261,5430798;119,7028413;2,043168133;67,61334562
100;90;36;250;68874,42964;262,4393828;125,2893757;2,070129625;67,1643014
100;90;34;250;65922,45272;256,753681;120,4986368;2,039791456;67,73624372
100;90;32;250;63254,26765;251,5040112;84,7837506;1,763122759;68,48015976
100;90;30;250;68639,6986;261,9917911;111,5078736;2,002327123;69,29892373
100;90;28;250;69336,21769;263,3177124;92,36344376;1,830071076;71,60436106
100;90;26;250;65463,05717;255,8574939;90,88912456;1,83786544;70,38978338
100;90;24;250;67817,75758;260,4184279;113,6186978;2,019389611;72,41555786
100;90;22;250;62878,63385;250,7561243;88,57937848;1,796263173;71,29357052
100;90;20;250;60241,12405;245,4406732;93,57772593;1,821065217;66,86506748
100;90;18;250;65002,20891;254,9553077;94,53675028;1,866418562;65,19009757
100;90;16;250;69129,08501;262,924105;114,5930013;2,023068659;76,89610195
100;90;14;250;62506,06612;250,0121319;92,76318809;1,828071198;80,62527347
100;90;12;250;69831,35172;264,2562236;112,7531061;2,010172916;80,01919746
100;90;10;250;71651,18412;267,6773881;112,5017789;2,019446766;65,41289353
100;90;8;250;66838,46726;258,5313661;118,0400627;2,041992247;65,91546226
100;88;100;250;70326,13708;265,190756;136,6137624;2,18289482;68,06885624
100;88;98;250;72276,31816;268,8425527;142,0725424;2,238159013;68,50644588
100;88;96;250;72699,83055;269,629061;134,1380165;2,18412856;68,26053095
100;88;94;250;63046,56939;251,0907593;87,43284722;1,791212302;68,2609899
100;88;92;250;74252,53643;272,493186;136,5438266;2,199262065;69,32369328
100;88;90;250;72296,76961;268,8805861;120,6851152;2,086497377;68,76050448
100;88;88;250;64582,13265;254,130149;120,3293284;2,034002305;69,19233966
100;88;86;250;65344,7851;255,6262606;90,32091609;1,815438343;69,6577456
100;88;84;250;59650,12816;244,2337572;89,1455618;1,780963089;68,69163251
100;88;82;250;65807,80276;256,5303155;120,8155765;2,047113653;69,00905204
100;88;80;250;73540,15261;271,1828767;126,3132104;2,120883546;68,95696855
100;88;78;250;65252,81994;255,4463152;111,03581;1,984053227;69,65703225
100;88;76;250;75133,64885;274,1051784;128,9920004;2,141724891;68,61969876
100;88;74;250;72481,46963;269,2238281;132,9435106;2,169058846;68,01204205
100;88;72;250;64763,59191;254,4869189;107,8945339;1,947440709;68,27729058
100;88;70;250;76182,15378;276,0111479;124,3219405;2,102856769;68,72003174
100;88;68;250;62450,27922;249,9005387;87,03785865;1,780739695;68,3910861
100;88;66;250;71391,17516;267,1912707;134,688915;2,180066514;67,75864148
100;88;64;250;67723,25703;260,2369248;99,1023561;1,925266095;77,76453829
100;88;62;250;73662,72759;271,4087832;133,8392045;2,18174184;77,97045469
100;88;60;250;72132,20513;268,574394;135,0316926;2,180026696;71,72031641
100;88;58;250;77171,78326;277,798098;131,8401837;2,178620705;73,1545217
100;88;56;250;71823,78446;267,9995979;127,8832364;2,117499927;71,13890719
100;88;54;250;66591,88478;258,0540346;117,2508449;2,037983738;73,42331958
100;88;52;250;69587,5421;263,7945073;121,6171646;2,074755934;74,29857421
100;88;50;250;76768,6011;277,0714729;145,099428;2,27941399;70,52500176
100;88;48;250;66938,09388;258,7239724;88,87160606;1,80167691;68,10497689
100;88;46;250;67465,54129;259,7412969;113,6110782;2,009893677;73,71967196
100;88;44;250;70060,88504;264,690168;127,0001303;2,105698786;72,51165128
100;88;42;250;68996,11458;262,6711148;110,1287983;1,992823818;67,58822227
100;88;40;250;64148,99623;253,2765213;87,01345236;1,78802274;72,3300581
100;88;38;250;68512,41004;261,7487537;129,7278453;2,116358192;71,72558165
100;88;36;250;82522,1392;287,2666691;169,1453399;2,506476149;70,91232061
100;88;34;250;65570,60002;256,0675693;107,01948;1,962453523;70,7049222
100;88;32;250;67695,24831;260,1831054;92,78427148;1,87345146;69,06116438
100;88;30;250;65985,00514;256,8754662;106,860751;1,961945211;67,44722986
100;88;28;250;60565,53862;246,1006677;87,24936441;1,774169953;68,86134386
100;88;26;250;76105,274;275,8718434;133,1698664;2,169041213;68,48267961
100;88;24;250;65827,01789;256,5677647;94,31956957;1,871584662;66,99605513
100;88;22;250;69496,86491;263,6225804;125,1340431;2,091496996;67,77828574
100;88;20;250;62675,76825;250,3512897;87,34697773;1,777021725;69,03770089
100;88;18;250;70490,1564;265,4998237;113,9096143;2,029231625;73,14439845
100;88;16;250;69316,39905;263,2800772;109,7054378;1,991676666;72,04728818
100;88;14;250;69025,57283;262,7271833;91,48778636;1,849486584;69,79866099
100;88;12;250;65662,86082;256,2476552;115,7998219;2,020927458;72,05913568
100;88;10;250;71765,37551;267,8906036;94,38142425;1,890052314;74,28909969
100;88;8;250;68211,54812;261,1734062;111,7711611;2,003459779;70,91676831
100;86;100;250;79913,46866;282,6897038;156,7558672;2,404463751;73,86859512
100;86;98;250;65297,06978;255,5329133;86,82313385;1,784091173;72,16465664
100;86;96;250;59758,29171;244,4550914;88,4222851;1,780317683;68,65183496
100;86;94;250;72429,62299;269,1275218;138,7584663;2,203759308;73,45421052
100;86;92;250;66949,10417;258,7452496;130,4432105;2,10991866;72,60155082
100;86;90;250;68014,50531;260,7959074;113,4729336;2,015018848;72,0718751
100;86;88;250;60444,0541;245,853725;86,27190449;1,769506749;71,98886251
100;86;86;250;63789,54858;252,5659292;99,43151626;1,912313344;74,92021418
100;86;84;250;61266,87043;247,5214545;97,33182986;1,847768643;73,0135839
100;86;82;250;66599,09677;258,068008;119,8592433;2,051321439;71,10137844
100;86;80;250;75162,72162;274,1582055;119,3764317;2,070986358;69,56092596
100;86;78;250;73662,68135;271,408698;151,9300599;2,313250954;68,98686576
100;86;76;250;73387,98847;270,9021751;132,9174726;2,18055435;69,69091058
100;86;74;250;61842,35725;248,6812362;86,76298113;1,782760468;68,71462369
100;86;72;250;64145,4507;253,2695219;96,23173579;1,862253918;68,17928696
100;86;70;250;65307,87752;255,5540599;97,59395297;1,903099684;68,63880777
100;86;68;250;69551,68709;263,7265385;126,8744798;2,095021847;68,49656487
100;86;66;250;77628,84509;278,6195347;138,8931673;2,234439723;67,72183013
100;86;64;250;63981,21829;252,9450895;101,1682231;1,927231616;67,09253168
100;86;62;250;73079,60625;270,3323996;127,8700283;2,126003075;67,62381792
100;86;60;250;72670,58789;269,574828;136,098517;2,199391974;68,91050839
100;86;58;250;62148,04961;249,2951055;88,28122678;1,785593485;69,29877114
100;86;56;250;70342,72527;265,2220301;137,0266257;2,192027324;67,20941806
100;86;54;250;63307,45831;251,6097341;93,91747055;1,875539139;67,45890784
100;86;52;250;72074,66907;268,4672588;132,7988186;2,168125765;67,13752103
100;86;50;250;66576,28347;258,0238041;115,1396338;2,018548197;66,74433565
100;86;48;250;60084,28604;245,1209621;85,63575837;1,76139602;66,36566377
