SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
6;3-Week;ARIMA1;5;23112094,42;4807,5;1509,7;3,48;0,6;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;3,48;999,0;999,0
6;3-Week;ARIMA1;6;23071707,85;4803,3;1497,46;3,45;0,6;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;3,45;999,0;999,0
6;3-Week;ARIMA2;2;23666411,57;4864,81;1541,79;3,52;0,3;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;3,52;999,0
6;3-Week;ARIMA2;3;23615122,64;4859,54;1510,83;3,45;0,2;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;3,45;999,0
6;3-Week;ARIMA2;4;23483886,66;4846,02;1502,33;3,43;0,3;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;3,43;999,0
6;3-Week;ARIMA2;5;23639395,56;4862,04;1492,78;3,42;0,4;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;3,42;999,0
6;3-Week;ARIMA2;6;23600185,42;4858,0;1479,35;3,39;0,4;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;3,39;999,0
6;3-Week;LSTM;1;22392328,88;4732,05;834,4;12,02;9,1; LSTM(100,96,90);999,0;999,0;999,0;12,02;999,0;999,0;999,0
6;3-Week;LSTM;2;23264930,81;4823,37;692,38;12,11;9,5; LSTM(100,96,90);999,0;999,0;999,0;12,11;999,0;999,0;999,0
6;3-Week;LSTM;3;22838790,42;4778,99;723,05;12,07;9,9; LSTM(100,96,90);999,0;999,0;999,0;12,07;999,0;999,0;999,0
6;3-Week;LSTM;4;22696348,03;4764,07;724,74;11,95;10,7; LSTM(100,96,90);999,0;999,0;999,0;11,95;999,0;999,0;999,0
6;3-Week;LSTM;5;22734722,67;4768,09;728,73;12,12;10,0; LSTM(100,96,90);999,0;999,0;999,0;12,12;999,0;999,0;999,0
6;3-Week;LSTM;6;22764543,8;4771,22;811,47;12,15;9,3; LSTM(100,96,90);999,0;999,0;999,0;12,15;999,0;999,0;999,0
6;3-Week;MLP;1;22449262,36;4738,07;813,1;12,0;20,7;{'activation': 'relu', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;12,0
6;3-Week;MLP;2;23260349,14;4822,9;734,73;12,07;16,8;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;12,07
6;3-Week;MLP;3;23223474,2;4819,07;569,75;12,19;14,5;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;12,19
6;3-Week;MLP;4;22959601,19;4791,62;608,34;12,01;19,1;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;12,01
6;3-Week;MLP;5;22935281,2;4789,08;719,65;12,11;18,5;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;12,11
6;3-Week;MLP;6;24314593,49;4930,98;846,84;12,73;17,2;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;12,73
6;3-Week;SVR-LSTM;1;22773882,8;4772,2;770,18;12,05;8,2;SVR-LSTM{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);12,05;999,0;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-LSTM;2;24030451,95;4902,09;808,14;12,57;7,9;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);12,57;999,0;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-LSTM;3;24140696,79;4913,32;833,6;12,7;8,3;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);12,7;999,0;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-LSTM;4;24703202,18;4970,23;936,43;13,08;8,6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);13,08;999,0;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-LSTM;5;26052588,94;5104,17;949,91;13,49;7,0;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);13,49;999,0;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-LSTM;6;49843856,31;7060,02;4718,12;21,92;6,3;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'}-LSTM(100,96,90);21,92;999,0;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-MLP;1;22681963,17;4762,56;707,3;12,04;7,4;{'C': 1255555, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;12,04;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-MLP;2;23947401,25;4893,61;859,19;12,54;8,7;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;12,54;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-MLP;3;24106534,61;4909,84;857,53;12,69;10,1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;12,69;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-MLP;4;24776313,22;4977,58;905,03;13,07;10,5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;13,07;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR-MLP;5;25837168,94;5083,03;1098,57;13,76;11,0;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;13,76;999,0;999,0;999,0;999,0;999,0
