SK_PONTO;Best_Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;model;freq
1;ARIMA(3,1,0)(0,0,0);4;4014,01925305871;63,3562881887718;43,9797864931704;6,69411733991315;155,679;ARIMA1;1-Hour
1;ARIMA(4,1,0)(0,0,0);5;7469,59785410754;86,426835266065;69,3212332319603;9,95962785328694;281,076;ARIMA1;1-Hour
1;ARIMA(0,1,0)(0,0,0);6;16589,7084086174;128,801041954704;103,582633855009;13,9362888729653;51,704;ARIMA1;1-Hour
9;ARIMA(1,1,3)(0,0,0);1;3786,61461576311;61,5354744498091;48,6969504719415;10,2194780698891;101,767;ARIMA1;1-Hour
9;ARIMA(3,1,1)(0,0,0);2;4259,43585621876;65,264353641316;56,4325484450725;12,9468920697432;69,427;ARIMA1;1-Hour
9;ARIMA(2,1,2)(0,0,0);3;2643,14309574818;51,4115074253633;40,9611838756526;8,8771034211259;136,322;ARIMA1;1-Hour
9;ARIMA(0,1,1)(0,0,0);4;68,4362313394343;8,2726193759555;4,56864576762419;1,0469765655697;46,732;ARIMA1;1-Hour
9;ARIMA(0,1,0)(0,0,0);5;10284,6388579372;101,413208498386;88,4586058294542;16,5420011530519;16,684;ARIMA1;1-Hour
9;ARIMA(0,1,0)(0,0,0);6;10766,6105120775;103,762278849674;90,527581412488;16,8468510871944;10,399;ARIMA1;1-Hour
1;ARIMA(0,0,0)(0,0,0);1;333380582,9;18258,71252;10861,54195;14,39740893;0,143;ARIMA1;3-Week
1;ARIMA(0,0,0)(0,0,0);2;303078184,7;17409,14084;10752,65426;14,24624574;0,251;ARIMA1;3-Week
1;ARIMA(0,0,0)(0,0,0);3;302645886,1;17396,72056;10687,78969;14,1605571;0,191;ARIMA1;3-Week
1;ARIMA(0,0,0)(0,0,0);4;313168678,5;17696,57251;10994,64101;14,54885496;0,216;ARIMA1;3-Week
1;ARIMA(0,0,0)(0,0,0);5;300810585;17343,89186;10936,48962;14,66164882;0,3;ARIMA1;3-Week
1;ARIMA(0,0,0)(0,0,0);6;258077399,5;16064,78756;10491,62608;14,47263184;0,226;ARIMA1;3-Week
4;ARIMA(3,1,1)(0,0,0);1;343855388;18543,3381;14866,3499;18,43333504;1,673;ARIMA1;3-Week
4;ARIMA(0,0,0)(0,0,0);2;230099607;15169,03448;8666,13356;10,09048717;0,192;ARIMA1;3-Week
4;ARIMA(0,0,0)(0,0,0);3;239402177,3;15472,62671;8679,787718;10,18634328;0,219;ARIMA1;3-Week
4;ARIMA(0,0,0)(0,0,0);4;243749970,8;15612,49406;8932,819519;10,49311229;0,219;ARIMA1;3-Week
4;ARIMA(0,0,0)(0,0,0);5;246473062;15699,46057;9001,590102;10,56277864;0,296;ARIMA1;3-Week
4;ARIMA(0,0,0)(0,0,0);6;244976349,7;15651,72034;9046,718579;10,55705068;0,482;ARIMA1;3-Week
5;ARIMA(1,0,0)(0,0,0);1;374187762,2;19343,93347;11307,78179;8,919868991;0,378;ARIMA1;3-Week
5;ARIMA(0,0,0)(0,0,0);2;316534723,1;17791,42274;7904,623057;5,766756167;0,228;ARIMA1;3-Week
5;ARIMA(0,0,0)(0,0,0);3;316632321,5;17794,16538;7876,963345;5,737769695;0,277;ARIMA1;3-Week
5;ARIMA(1,0,0)(0,0,0);4;702682372,2;26508,15671;18771,39187;16,48973163;0,695;ARIMA1;3-Week
5;ARIMA(0,0,0)(0,0,0);5;290432408,1;17042,07758;7273,33;5,252088773;0,302;ARIMA1;3-Week
5;ARIMA(0,0,0)(0,0,0);6;291071300,8;17060,81184;7309,965441;5,284993901;0,405;ARIMA1;3-Week
6;ARIMA(1,0,1)(0,0,0);1;54155812,56;7359,063294;4522,1842;12,03074433;0,714;ARIMA1;3-Week
6;ARIMA(0,0,1)(0,0,0);2;33250438,78;5766,319344;2024,59017;4,331951815;0,527;ARIMA1;3-Week
6;ARIMA(0,0,0)(0,0,0);3;23248693,07;4821,689856;1507,732522;3,460241135;0,285;ARIMA1;3-Week
6;ARIMA(0,0,0)(0,0,0);4;23043158,61;4800,32901;1502,266362;3,452101774;0,359;ARIMA1;3-Week
6;ARIMA(0,0,0)(0,0,0);5;23112094,42;4807,503969;1509,70147;3,476303309;0,559;ARIMA1;3-Week
6;ARIMA(0,0,0)(0,0,0);6;23071707,85;4803,301765;1497,46318;3,449255975;0,613;ARIMA1;3-Week
7;ARIMA(1,0,2)(0,0,0);1;297532382,5;17249,12701;12261,73699;16,92896791;0,938;ARIMA1;3-Week
7;ARIMA(0,0,0)(0,0,0);2;101557737;10077,58587;5839,960469;6,836550594;0,169;ARIMA1;3-Week
7;ARIMA(0,0,0)(0,0,0);3;99399382,74;9969,923908;5853,252557;6,872899104;0,283;ARIMA1;3-Week
7;ARIMA(0,0,0)(0,0,0);4;97994132,75;9899,198591;5738,407489;6,763898741;0,328;ARIMA1;3-Week
7;ARIMA(0,0,0)(0,0,0);5;97862259,83;9892,535561;5730,856863;6,753348777;0,394;ARIMA1;3-Week
7;ARIMA(0,0,0)(0,0,0);6;97330833,99;9865,639057;5754,396586;6,785735524;0,431;ARIMA1;3-Week
8;ARIMA(2,0,1)(0,0,0);1;16074742,92;4009,331979;1688,993885;5,46859842;0,784;ARIMA1;3-Week
8;ARIMA(0,0,0)(0,0,0);2;14674065,46;3830,674282;1533,055191;4,996490615;0,269;ARIMA1;3-Week
8;ARIMA(1,0,0)(0,0,0);3;21819394,23;4671,123445;2154,875025;7,903835594;0,645;ARIMA1;3-Week
8;ARIMA(0,0,0)(0,0,0);4;14953280,92;3866,947235;1483,966702;4,843379717;0,317;ARIMA1;3-Week
8;ARIMA(0,0,0)(0,0,0);5;15080143,76;3883,316078;1491,989798;4,860811936;0,443;ARIMA1;3-Week
8;ARIMA(0,0,0)(0,0,0);6;15063363,59;3881,15493;1489,333067;4,852035955;0,616;ARIMA1;3-Week
9;ARIMA(0,1,0)(0,0,0);1;4570039172;67602,06485;66255,37431;2190,60678;0,125;ARIMA1;3-Week
9;ARIMA(1,0,0)(0,0,0);2;363413774,4;19063,41455;11875,00195;28,99590983;0,323;ARIMA1;3-Week
9;ARIMA(1,0,0)(0,0,0);3;395390886,2;19884,43829;12324,2481;32,37006431;0,358;ARIMA1;3-Week
9;ARIMA(1,0,0)(0,0,0);4;415788455,6;20390,89149;13546,89941;34,34008329;0,434;ARIMA1;3-Week
9;ARIMA(1,0,0)(0,0,0);5;438760048,5;20946,59993;14565,25577;36,83973604;0,463;ARIMA1;3-Week
9;ARIMA(1,0,0)(0,0,0);6;557420030,3;23609,74439;19565,4526;47,59294307;0,576;ARIMA1;3-Week
11;ARIMA(1,1,0)(0,0,0);1;6120825564;78235,70518;77789,86409;131,4562545;0,455;ARIMA1;3-Week
11;ARIMA(2,0,0)(0,0,0);2;605392406,3;24604,72325;17362,26459;15,6105726;0,766;ARIMA1;3-Week
11;ARIMA(0,0,0)(0,0,0);3;256936416,9;16029,23632;6614,210869;4,835989607;0,193;ARIMA1;3-Week
11;ARIMA(0,0,0)(0,0,0);4;257954725,8;16060,96902;6662,309042;4,867257992;0,405;ARIMA1;3-Week
11;ARIMA(0,0,0)(0,0,0);5;261403575,9;16167,97996;6726,903127;4,913512327;0,379;ARIMA1;3-Week
11;ARIMA(2,0,0)(0,0,0);6;704064770,8;26534,21887;18348,59578;17,61224437;1,355;ARIMA1;3-Week
12;ARIMA(2,0,0)(0,0,0);1;178661619,2;13366,43629;9297,416595;23,82111459;0,974;ARIMA1;3-Week
12;ARIMA(0,0,0)(0,0,0);2;34522934,53;5875,622055;2322,796005;4,334894572;0,236;ARIMA1;3-Week
12;ARIMA(0,0,0)(0,0,0);3;34491960,23;5872,985631;2353,403114;4,392401727;0,342;ARIMA1;3-Week
12;ARIMA(0,0,0)(0,0,0);4;34464907,03;5870,68199;2354,936021;4,393356003;0,292;ARIMA1;3-Week
12;ARIMA(1,0,0)(0,0,0);5;385319903;19629,56706;13431,41382;63,86682386;1,047;ARIMA1;3-Week
12;ARIMA(1,0,0)(0,0,0);6;355087243,9;18843,75875;12706,13993;57,11381564;1,061;ARIMA1;3-Week
13;ARIMA(0,1,0)(0,0,0);1;1,66336E+11;407842,7602;362054,7292;738,9000585;0,218;ARIMA1;3-Week
13;ARIMA(1,1,1)(0,0,0);2;13030952288;114153,1966;73111,17438;20,22381616;0,959;ARIMA1;3-Week
